Name,CMP,PE,MarCap,DivYld,NPQtr,QtrProfitVar,SalesQtr,QtrSalesVar,ROCE,ROE5Yr,ROE3Yr,ROE7Yr
AIA Engineering,3309.7,30.16,31217.21,0.48,258.89,-7.41,1066.22,-8.8,22.71,16.6,17.59,16.26
Endurance Tech.,2214.4,37.66,31148.38,0.38,245.13,12.13,2963.49,10.38,18.21,13.79,13.64,15.1
IRB Infra.Devl.,51.21,41.45,30925.72,0.59,6026.11,69.35,2025.44,2.89,8.96,4.95,4.56,6.76
Aegis Logistics,867.55,52.68,30451.01,0.75,159.52,-4.52,1706.99,-8.88,14.74,14.21,15.92,14.83
NBCC,111.08,52.99,29991.6,0.48,142.43,8.94,2826.96,16.65,31.99,17.08,20.9,18.11
New India Assura,179.03,29.85,29504.14,1.15,348.51,-51.7,10702.92,-5.83,0.56,2.7,0.36,1.96
Aster DM Health.,589.85,101.78,29463.78,0.68,64.39,25.04,1049.81,9.97,4.48,9.23,9.44,9.88
C D S L,1408.8,55.94,29443.92,0.67,100.4,-22.4,224.45,-6.78,41.93,29.4,29.73,27.02
Indraprastha Gas,209.2,17.1,29288.03,2.15,453.21,4.6,3950.84,9.84,21.43,19.93,19.68,20.37
Deepak Nitrite,2110.9,41.69,28791.21,0.36,98.13,-51.45,1903.4,-5.27,21.65,28.19,23.94,26.62
Garden Reach Sh.,2481.7,53.9,28428.37,0.38,244.25,118.86,1642.04,61.66,37.28,20.3,22.91,18.73
Gillette India,8610.0,59.19,28059.99,0.75,125.97,21.18,685.55,7.21,58.91,36.22,38.9,36.29
PNB Housing,1072.1,14.3,27866.56,0.0,567.11,27.79,2029.94,12.73,9.45,11.03,11.56,11.23
Emami,636.3,34.6,27774.5,1.26,162.17,10.51,963.05,8.06,33.86,31.02,29.9,26.7
Bandhan Bank,170.09,9.98,27401.01,0.88,317.9,481.91,5433.86,4.71,7.83,9.92,11.55,12.14
Brigade Enterpr.,1108.6,39.81,27091.37,0.18,249.35,19.76,1460.39,-14.21,13.38,8.19,11.45,8.19
Sumitomo Chemi.,538.45,52.41,26876.5,0.17,84.31,53.43,622.43,15.17,20.83,21.39,20.77,20.8
JSW Holdings,23930.0,121.07,26562.3,0.0,13.89,-59.98,29.22,7.07,0.7,1.08,1.09,1.12
Star Health Insu,450.9,41.04,26503.29,0.0,0.51,-99.64,4081.25,10.65,11.93,-0.05,11.92,1.43
Shyam Metalics,937.75,28.82,26175.59,0.48,220.15,1.02,4139.36,14.78,12.05,16.09,10.97,16.53
Firstsour.Solu.,368.75,44.39,26071.66,1.08,160.69,20.37,2161.46,29.39,14.78,15.94,15.16,15.33
Syngene Intl.,645.4,55.08,26005.71,0.19,183.3,-2.81,1018.0,11.03,13.46,12.96,12.31,13.8
J B Chemicals &,1647.2,38.88,25643.15,0.74,145.69,15.48,949.48,10.18,26.62,20.08,19.63,19.09
Krishna Institu.,640.3,67.93,25620.9,0.0,106.1,43.82,796.9,25.73,15.14,21.74,19.21,20.5
Angel One,2800.6,21.61,25325.25,1.71,174.52,-48.66,1056.01,-22.2,25.79,37.24,36.13,35.37
Chambal Fert.,632.1,15.35,25325.23,1.19,130.31,34.65,2448.73,-7.35,27.87,21.32,17.68,22.85
ZF Commercial,13221.0,54.65,25067.02,0.13,125.19,23.86,1003.19,4.99,20.2,11.74,14.91,11.66
Piramal Enterp.,1104.75,51.31,24909.65,0.91,102.44,107.42,2853.55,15.37,6.86,3.79,3.19,3.63
Sun TV Network,629.2,14.2,24795.8,2.66,363.26,-20.0,827.56,-10.35,26.2,20.6,19.61,21.76
Poly Medicure,2419.2,72.4,24512.72,0.12,91.83,34.33,440.83,16.6,20.24,16.42,16.59,16.9
M R P L,138.0,430.28,24185.86,2.17,370.63,-67.6,24595.87,-2.89,4.33,19.54,19.31,9.05
